Name,Sex,Event,Equipment,AgeClass,Division,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Sophia Mazzaferro,F,SBD,Wraps,20-23,F-OR,60,117.5,60,127.5,305,8,345.15,352.05,305.04,542.79,,,GPC-AUS,2015-03-01,Australia,SA,SA States
Bianca Starhan,F,SBD,Wraps,24-34,F-OR,60,112.5,55,125,292.5,11,327.63,327.63,289.50,516.39,,,GPC-AUS,2015-03-01,Australia,SA,SA States
Sean Davidson,M,SBD,Wraps,20-23,M-OR,82.5,180,125,230,535,11,364.33,375.26,351.91,534.96,,,GPC-AUS,2015-03-01,Australia,SA,SA States
Huen Andrews,M,SBD,Wraps,20-23,M-OR,125,242.5,132.5,220,595,12,346.79,346.79,331.76,483.03,,,GPC-AUS,2015-03-01,Australia,SA,SA States
Alicia Stocker,F,SBD,Wraps,20-23,F-OR,56,125,55,130,310,1,365.26,365.26,323.10,566.26,,,GPC-AUS,2017-08-26,Australia,QLD,Spring Cup
Fredrica Kelep,F,SBD,Wraps,24-34,F-OR,56,100,37.5,120,257.5,3,303.40,303.40,268.38,465.45,,,GPC-AUS,2017-08-26,Australia,QLD,Spring Cup
Katie Miller,F,SBD,Wraps,40-44,Amateur Masters 40-44,56,68.04,49.9,117.93,235.87,1,278.34,278.34,246.23,424.30,Yes,,IPA,2018-10-20,USA,CT,Connecticut State Powerlifting Championships
Mamie Crosdale,F,SBD,Wraps,24-34,F-OR,60,100,52.5,122.5,275,4,313.11,313.11,276.75,488.86,,,GPC-AUS,2017-08-26,Australia,QLD,Spring Cup
Bee Giles,F,D,Raw,24-34,F-OR,56,,,130,130,10,153.39,153.39,135.69,533.60,,,GPC-AUS,2014-09-06,Australia,QLD,Bench 4 Bux & Deadlift 4 Dosh
Terri Arnold,F,SBD,Wraps,24-34,F-OR,67.5,107.5,60,117.5,285,5,290.88,290.88,256.59,475.95,,,GPC-AUS,2017-08-26,Australia,QLD,Spring Cup
May Chen,F,SBD,Wraps,24-34,F-OR,67.5,92.5,50,87.5,230,5,251.90,251.90,222.50,396.54,,,GPC-AUS,2017-04-07,Australia,QLD,QLD States
Colleen Houngan,F,SBD,Wraps,50-54,F-OR,75,125,55,125,305,5,293.70,347.74,258.54,492.28,,,GPC-AUS,2017-08-26,Australia,QLD,Spring Cup
Annalicia Vaughan,F,SBD,Wraps,24-34,F-OR,82.5,85,55,132.5,272.5,6,247.81,247.81,217.18,424.04,,,GPC-AUS,2017-04-07,Australia,QLD,QLD States
Ellen Hooper,F,SBD,Wraps,13-15,F-OR,82.5,100,45,110,255,8,232.21,285.62,203.54,397.40,,,GPC-AUS,2017-08-26,Australia,QLD,Spring Cup
Patricia Liebke,F,SBD,Wraps,40-44,F-OR,90,120,65,127.5,312.5,3,271.56,276.99,236.34,469.27,,,GPC-AUS,2017-08-26,Australia,QLD,Spring Cup
Sam Kettlewell,F,SBD,Wraps,24-34,F-OR,110,117.5,67.5,120,305,2,249.56,249.56,212.63,430.67,,,GPC-AUS,2017-08-26,Australia,QLD,Spring Cup
